"species" "EdHd" "MoBd" "JlHd" "EhBd" "BlBd" "HdBd" "PFiBd" "PFlBl" "CFdCPd" "Length" "Weight" "Eigen.1" "Eigen.2" "Eigen.3" "Eigen.4" "Eigen.5" "Eigen.6" "Eigen.7" "Eigen.8" "Eigen.9" "Eigen.10"
"1" "Aaptosyax_grypus" 0.138308842118548 0.210222581642779 0.271529958019715 0.210222581642779 0.746565173906198 0.171720935614467 0.105027903230236 0.0584670179022771 0.638388476396259 2.11727129565576 4.47713573096112 1.16343886076503 -0.414837081420642 0.358082549840214 -2.61711899209881 -4.6169958666395 0.31516273738366 0.372294518208682 0.165929185487406 0.00674025417243078 -1.61770428045295
"2" "Abactochromis_labrosus" 0.131548067345999 0.178919304048101 0.149575300825678 0.217668068219259 0.579333997443485 0.2361493473687 0.12390694275189 0.0867495115748038 0.547232087718744 1.09691001300806 NA 1.16343886076614 -0.414837081420896 0.358082549840815 -2.61711899209979 -4.61699586663992 0.315162737384217 0.372294518208707 0.165929185487358 0.00674025417244901 -1.61770428045327
"3" "Abbottina_liaoningensis" 0.117934514669909 0.0806211444875853 0.150209946567572 0.18132521061598 0.745412774113035 0.201805280436296 0.0435654611098522 0.0748869279794388 0.492002894664763 0.880813586831114 NA 1.16394355029419 -0.415201910039096 0.358733461338911 -2.62331950769571 -4.63441957954763 0.316458127138837 0.374038419202417 0.16689063907133 0.00678330167220037 -1.62895299331019
"4" "Abbottina_obtusirostris" 0.0954238504820424 0.121435998282035 NA 0.169723331801749 0.758194886359308 0.231552533990462 0 0.0792210054216293 0.440362673865115 NA 1.16136800223497 1.16417244351322 -0.415367349486854 0.359028547807136 -2.62613000483321 -4.64231387209453 0.317044980102941 0.374828326777358 0.167325989804473 0.00680279035811347 -1.63404471327799
"5" "Abbottina_rivularis" 0.126733774022434 0.138187661164658 NA 0.189809420788273 0.763989191509028 0.233382862630276 0 0.0610514735691793 0.620493671718175 NA NA 1.16418104936542 -0.415373569250911 0.359039640303715 -2.62623564547681 -4.642610546148 0.317067033535068 0.374858008561766 0.167342346255318 0.00680352250461937 -1.63423598370036
"6" "Aborichthys_kempi" 0.111492012881054 0.118397042547163 0.144042356358171 0.230811343341752 0.914607958307529 0.207331728910128 0.071545396994135 0.0633274643679715 0.415633315554854 0.959041410526609 NA 1.16418104936539 -0.415373569251358 0.359039640304387 -2.62623564547695 -4.64261054614756 0.317067033534942 0.374858008561245 0.167342346255252 0.00680352250512168 -1.63423598370017
"7" "Abramis_brama" 0.145331895250143 0.199454874817258 0.0769063882489903 0.213882787437272 0.554753544055096 0.151402216678517 0.154667567278675 0.0734000516626302 0.626233439826411 NA 3.77894672796862 1.16409321111874 -0.41531008130547 0.358926399066609 -2.62515709547756 -4.63958101794066 0.316841821186148 0.3745548700784 0.167175272688784 0.00679604334255827 -1.63228192861582
"8" "Abramites_eques" 0.2120889123272 0.141876883450371 0.0911746504636091 0.141876883450371 0.57455690524631 0.105896870532917 0.0873306302407559 0.066209748341728 NA 1.29003461136252 2.18184358794477 1.16414667970051 -0.41534872585181 0.358995321972977 -2.62581350821935 -4.64142456909721 0.316978864827833 0.374739322668491 0.167276922609969 0.00680059352328813 -1.63347067695535
"9" "Abramites_hypselonotus" 0.166945219913889 0.170866836654619 0.0554783243488841 0.145051189447486 0.596719287401128 0.144873937243363 0.0917991281565415 0.0674053959136812 0.610387541233684 NA NA 1.16415827830805 -0.415357108575915 0.359010271900036 -2.62595588523538 -4.64182440898953 0.317008587112348 0.374779325898376 0.16729896670572 0.00680158025838617 -1.63372845689155
"10" "Abyssocottus_elochini" 0.116083466426061 0.169750597221381 0.237214194210877 0.218055472014869 0.72971463381562 0.208899523619555 0.199712584210213 0.0596315343895451 0.388477527122663 NA NA 1.16415827830805 -0.41535710857592 0.359010271900024 -2.6259558852354 -4.64182440898944 0.317008587112581 0.374779325898854 0.16729896670588 0.00680158025836041 -1.6337284568916
"11" "Abyssocottus_gibbosus" 0.0710591690753886 0.188220617606017 0.313012018668243 0.222050370946345 0.700747050469334 0.211774911354959 0.16441853549999 0.0811006857195322 0.472220262401225 NA NA 1.17276558865009 -0.421881538713435 0.37190636173465 -2.75666123574723 -5.07515642822135 0.350588943192044 0.423394410588921 0.198397831309208 0.00831677528596222 -2.06476932277007
"12" "Abyssocottus_korotneffi" 0.10759437014582 0.177817568726679 NA 0.214024944464069 0.885993673979637 0.206696408146963 0.189662769628704 0.0630390040126022 0.545059026105685 NA 1.41497334797082 1.17276558865009 -0.421881538713428 0.371906361734653 -2.75666123574725 -5.0751564282213 0.350588943192535 0.423394410589647 0.198397831309192 0.00831677528570807 -2.0647693227701
"13" "Acantharchus_pomotis" 0.130961585454791 0.156589806466833 0.142276869353862 0.168838770166878 0.527803485608281 0.160693985518616 0.123999960423798 0.0792535446415814 0.482085428200001 NA NA 1.1830184306186 -0.429428984586454 0.38593493083048 -2.89380907790743 -5.4899747688365 0.382035192615711 0.467240943554002 0.22447360544723 0.00953852640027268 -2.39951327779103
"14" "Acanthicus_adonis" 0.0620619985693668 0 0 0.224045882199372 0.786337465239872 0.287386829416835 0 0.136505813203226 0.834374174622484 1.33445375882085 NA 1.18301988807602 -0.429430056820223 0.385936921282982 -2.89382852273649 -5.49003347064567 0.382039640628229 0.467247140785315 0.224477285495019 0.00953869868811631 -2.39956044672575
"15" "Acanthicus_hystrix" 0.0587865534032419 0 0 0.203008550587852 0.743122299538789 0.252404107604783 0 0.147438723521143 0.941257694137938 1.73239375982297 NA 1.18346458055045 -0.429757205208604 0.386544201370288 -2.89976092727194 -5.50794164038053 0.38339657640564 0.469137655319332 0.225599858703389 0.00959125258235824 -2.41394827630206
"16" "Acanthobrama_lissneri" 0.192985711859843 0.142918349173763 0.122041604710807 0.167239315076452 0.702391382207621 0.200598200971966 0.0773526734563936 0.0758659221577788 0.611580293207912 NA NA 1.18347127586565 -0.429762130105363 0.386553340768916 -2.89985019341483 -5.50821099406829 0.383416983773661 0.469166082430213 0.225616732883439 0.00959204241656436 -2.41416447483119
"17" "Acanthobrama_marmid" 0.144848639266806 0.145362873765421 0.181032636203091 0.161992250725752 0.594669588745693 0.134395884495251 0.101070242248409 0.0647059721166482 0.565377377237825 NA NA 1.18347127586565 -0.429762130105364 0.386553340768909 -2.89985019341484 -5.5082109940683 0.383416983773634 0.469166082430258 0.225616732883105 0.00959204241650827 -2.41416447483116
"18" "Acanthobrama_telavivensis" 0.184865183363186 0.163802774535898 0.125884829019333 0.163802774535898 0.673272774288306 0.189914435975605 0.0855618092693944 0.0646286706747188 0.511225231546211 NA NA 1.18346169732873 -0.429755084271458 0.386540264981406 -2.89972247727888 -5.50782560075605 0.383387784398588 0.469125407358488 0.225592587409578 0.00959091220893848 -2.41385510076053
"19" "Acanthobunocephalus_nicoi" NA NA NA NA NA NA NA NA NA 0.472756453500803 NA 1.18346169732873 -0.429755084271464 0.386540264981416 -2.89972247727889 -5.50782560075606 0.383387784398582 0.469125407358477 0.225592587409864 0.00959091220890662 -2.41385510076066
"20" "Acanthocharax_microlepis" 0.159253320209544 0.216224221859012 0.154610188739019 0.203226924096623 0.551651675324935 0.190700208449811 0.0831072206408069 NA 0.734545468082834 0.977723605288848 NA 1.18353260494215 -0.42980725509214 0.386637132131814 -2.90066888780482 -5.51068355775854 0.38360435572726 0.469427183587851 0.225771830263251 0.0095993048195844 -2.41615309821028
"21" "Acanthocleithron_chapini" 0.108271515398683 0 NA 0.214411703961248 0.817751443979972 0.256675719512744 0.107736706500678 0.0922975189745061 0.427797959177024 0.812913356642856 NA 1.18353266593575 -0.429807299958945 0.386637215399594 -2.90066970113072 -5.51068601217091 0.383604541688664 0.469427442640203 0.225771984048408 0.00959931201809551 -2.41615506873863
"22" "Acanthocobitis_botia" 0.107311223127018 0 NA 0.180736677548577 0.795520204565364 0.230454315563131 0.0344787409352327 0.0654633578369985 0.362170144203499 NA NA 1.18353266593575 -0.429807299958945 0.386637215399597 -2.90066970113072 -5.51068601217092 0.383604541688654 0.469427442640209 0.22577198404841 0.00959931201812966 -2.41615506873858
